Date;Heure;Evenement18-11-09d;19:45:09;
18-11-09d;19:45:09;172
18-11-09d;19:45:09;166
18-11-09d;19:45:09;162
18-11-09d;19:45:09;161
18-11-09d;19:45:09;161
18-11-09d;19:45:09;161
18-11-09d;19:45:09;162
18-11-09d;19:45:09;163
18-11-09d;19:45:09;6
18-11-09d;19:45:09;195
18-11-09d;19:45:09;194
18-11-09d;19:45:09;191
18-11-09d;19:45:09;189
18-11-09d;19:45:09;189
18-11-09d;19:45:09;189
18-11-09d;19:45:09;189
18-11-09d;19:45:09;190
18-11-09d;19:45:09;192
18-11-09d;19:45:09;194
18-11-09d;19:45:09;195
18-11-09d;19:45:09;194
18-11-09d;19:45:09;194
18-11-09d;19:45:09;193
18-11-09d;19:45:09;188
18-11-09d;19:45:09;184
18-11-09d;19:45:09;178
18-11-09d;19:45:09;172
18-11-09d;19:45:09;166
18-11-09d;19:45:09;162
18-11-09d;19:45:09;161
18-11-09d;19:45:09;161
18-11-09d;19:45:09;161
18-11-09d;19:45:09;162
18-11-09d;19:45:09;163
18-11-09d;19:45:09;163
18-11-09d;19:45:09;161
18-11-09d;19:45:09;162
18-11-09d;19:45:09;164
18-11-09d;19:45:09;166
18-11-09d;19:45:09;169
18-11-09d;19:45:09;171
18-11-09d;19:45:09;174
18-11-09d;19:45:09;175
18-11-10d;19:45:10;176
18-11-10d;19:45:10;176
18-11-10d;19:45:10;175
18-11-10d;19:45:10;175
18-11-10d;19:45:10;178
18-11-10d;19:45:10;182
18-11-10d;19:45:10;184
18-11-10d;19:45:10;187
18-11-10d;19:45:10;194
18-11-10d;19:45:10;195
18-11-11d;19:45:11;196
18-11-11d;19:45:11;199
18-11-11d;19:45:11;201
18-11-11d;19:45:11;202
18-11-11d;19:45:11;204
18-11-11d;19:45:11;206
18-11-11d;19:45:11;207
18-11-11d;19:45:11;206
18-11-11d;19:45:11;203
